Dia,Fecha,Formato,Horario_Mexico,Titulo_Espanol,Miniatura_Texto_ES,Titulo_Ingles,Miniatura_Texto_EN,Versiculo_Biblico,Hook_Audio_Primeros_5s,Intencion_Oracion,Canal_ES,Canal_EN,Badge_Hora,Color_Palabras_Sagradas,Color_Ultima_Palabra
Dia 01,Lunes 01,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,"ORACIÓN DE LA MAÑANA: ABRE CAMINOS Y BENDICE MI HOGAR, SEÑOR",ABRE CAMINOS HOY,"MORNING PRAYER: LORD, OPEN DOORS AND BLESS MY FAMILY TODAY",OPEN DOORS TODAY,Salmos 5:3 / Psalm 5:3,"Antes de poner un pie fuera de tu cama, entrega las próximas 24 horas al SEÑOR.",Consagración del inicio de semana y protección financiera/familiar.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 02,Martes 02,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,DIOS SANA TU CASA: QUITA TODA ANGUSTIA Y PREOCUPACIÓN ESTA MAÑANA,DIOS SANA TU CASA,GOD HEALS YOUR HOME: REMOVE ALL ANXIETY AND FEAR THIS MORNING,GOD HEALS YOUR HOME,Filipenses 4:6-7 / Phil 4:6-7,"Si tu mente amaneció cansada, repite conmigo esta oración de paz absoluta.","Sanidad del corazón, descanso del estrés y confianza plena.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 03,Miércoles 03,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN PODEROSA PARA MULTIPLICAR EL SUSTENTO Y SALIR DE DEUDAS,MULTIPLICA TU SUSTENTO,POWERFUL PRAYER FOR FINANCIAL BREAKTHROUGH AND DIVINE PROVISION,DIVINE PROVISION,Malaquías 3:10 / Malachi 3:10,Dios nunca llega tarde. La provisión que necesitas ya viene en camino.,"Desbloqueo económico, sabiduría en administración y bendición laboral.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 04,Jueves 04,Largo 45m (22:00 PM Noche),06:00 AM / 22:00 PM,ORACIÓN DE LA NOCHE: DUERME EN PAZ BAJO LA SOMBRA DEL OMNIPOTENTE,PAZ PARA DORMIR,EVENING PRAYER: SLEEP IN PEACE UNDER THE SHADOW OF THE ALMIGHTY,PEACE TO SLEEP,Salmos 91:1-4 / Psalm 91:1-4,Suelta la carga del día. Ninguna pesadilla ni mal tocará tu habitación hoy.,"Blindaje espiritual nocturno, combate contra el insomnio y gratitud por el día.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 05,Viernes 05,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,"PADRE CELESTIAL, DERRAMA SABIDURÍA Y GUÍA CADA PASO DE MIS HIJOS",PROTEGE A MIS HIJOS,"HEAVENLY FATHER, POUR WISDOM AND PROTECT EVERY STEP OF MY CHILDREN",PROTECT MY CHILDREN,Proverbios 22:6 / Proverbs 22:6,La oración de una madre o un padre levanta una muralla de ángeles sobre los hijos.,"Intercesión familiar por descendencia, estudios, decisiones y protección.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 06,Sábado 06,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN DE GRATITUD: GRACIAS POR LO QUE TENGO Y POR LO QUE VENDRÁ,GRACIAS SEÑOR,PRAYER OF GRATITUDE: THANK YOU LORD FOR WHAT I HAVE AND WHAT IS COMING,THANK YOU LORD,1 Tesalonicenses 5:18 / 1 Thess 5:18,Un corazón agradecido es el imán de los milagros más inesperados.,Alabanza desinteresada y renovación de la fe en el hogar.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 07,Domingo 07,Largo 60m (06:00 AM) + Short,06:00 AM / 22:00 PM,"DEVOCIONAL DE DOMINGO: DÍA DE REPOSO, RENOVACIÓN Y BENDICIÓN TOTAL",DOMINGO CON DIOS,"SUNDAY DEVOTIONAL: A DAY OF REST, RENEWAL, AND TOTAL BLESSING",SUNDAY WITH GOD,Isaías 40:31 / Isaiah 40:31,Los que esperan en el SEÑOR levantarán alas como las águilas. Respira Su paz.,Recarga espiritual profunda antes de iniciar la segunda semana.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 08,Lunes 08,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN PARA COMENZAR LA SEMANA: NINGUNA ARMA FORJADA PROSPERARÁ,VICTORIA EN DIOS,PRAYER TO START THE WEEK: NO WEAPON FORMED AGAINST YOU SHALL PROSPER,VICTORY IN GOD,Isaías 54:17 / Isaiah 54:17,No temas a lo que verán tus ojos esta semana; Dios ya peleó la batalla por ti.,"Victoria espiritual, autoridad sobre dudas y fe inquebrantable.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 09,Martes 09,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN POR LA SALUD: DIOS RESTAURA TUS FUERZAS Y CADA ÓRGANO,SANIDAD DIVINA,PRAYER FOR HEALTH: GOD RESTORES YOUR BODY AND RENEWS YOUR STRENGTH,DIVINE HEALING,Jeremías 30:17 / Jeremiah 30:17,Declara con fe: Por las llagas de CRISTO fuimos nosotros curados.,"Sanidad de enfermedades crónicas, dolores y restauración física.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 10,Miércoles 10,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,"LÍBRAME DE LA GENTE FALSA, DE LA ENVIDIA Y DEL MAL DE OJO, PADRE",LÍBRAME DEL MAL,"DELIVER ME FROM FALSE TONGUES, ENVY, AND HIDDEN SNARES, LORD",DELIVER FROM EVIL,Salmos 140:1-4 / Psalm 140:1-4,"Cuando Dios te bendice, la envidia se levanta. Pero Su escudo es impenetrable.","Protección contra malas voluntades, traiciones y habladurías.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
